model,year,target,transmission,mileage,fuelType,tax,mpg,engineSize
 Q5,2013,14750,Manual,63153,Diesel,200,47.9,2.0
 Q3,2015,17790,Semi-Auto,25493,Diesel,160,50.4,2.0
 A6,2015,15498,Semi-Auto,57123,Diesel,20,67.3,2.0
 A4,2019,26570,Automatic,14875,Petrol,145,38.2,2.0
 Q3,2017,19995,Manual,21972,Petrol,145,49.6,1.4
 A3,2016,10999,Manual,38537,Diesel,20,68.9,2.0
 Q2,2018,22990,Semi-Auto,31615,Petrol,145,51.4,1.4
 Q5,2016,23142,Semi-Auto,27041,Diesel,200,47.1,2.0
 Q3,2016,19299,Manual,20183,Diesel,145,52.3,2.0
 Q3,2016,14500,Manual,23549,Diesel,30,61.4,2.0
 A8,2019,44490,Automatic,12009,Diesel,145,38.7,3.0
 Q2,2019,20956,Manual,3184,Petrol,145,42.8,1.5
 A4,2019,26990,Automatic,2250,Diesel,145,50.4,2.0
 Q3,2016,13490,Manual,32000,Diesel,30,61.4,2.0
 A3,2016,17950,Semi-Auto,31925,Petrol,125,48.7,2.0
 A6,2019,34000,Semi-Auto,2000,Diesel,145,39.2,3.0
 Q2,2019,21990,Semi-Auto,5445,Diesel,150,47.9,1.6
 TT,2018,22300,Semi-Auto,23520,Petrol,145,43.5,2.0
 A5,2012,8975,Manual,70000,Diesel,125,60.1,2.0
 A6,2016,22798,Semi-Auto,14987,Diesel,30,58.9,2.0
 Q3,2016,17998,Manual,9481,Petrol,125,51.4,1.4
 A8,2018,34700,Automatic,15486,Diesel,145,50.4,3.0
 A3,2016,13950,Semi-Auto,25480,Petrol,30,58.9,1.4
 A4,2011,6895,Manual,103000,Diesel,165,50.4,2.0
 A1,2016,11210,Manual,29050,Diesel,0,76.3,1.6
 Q3,2017,25498,Semi-Auto,16078,Petrol,145,40.4,2.0
 A3,2017,17255,Manual,26111,Petrol,30,60.1,1.4
 S3,2016,21950,Automatic,60000,Petrol,205,40.9,2.0
 Q3,2015,13995,Manual,35446,Diesel,145,54.3,2.0
 Q5,2019,39999,Automatic,4500,Diesel,145,38.2,2.0
 A4,2017,18990,Semi-Auto,30417,Diesel,30,62.8,2.0
 A5,2019,29695,Manual,5500,Petrol,145,37.2,2.0
 A3,2017,15498,Semi-Auto,13542,Diesel,20,72.4,1.6
 Q3,2015,26200,Semi-Auto,33459,Petrol,325,32.8,2.5
 Q3,2016,17940,Manual,12683,Petrol,125,51.4,1.4
 Q5,2019,35995,Automatic,7256,Diesel,145,38.2,2.0
 Q3,2019,35995,Automatic,4392,Petrol,145,32.1,2.0
 A4,2017,16498,Manual,13122,Petrol,145,52.3,1.4
 A1,2019,22950,Semi-Auto,3135,Petrol,150,44.8,1.5
 Q2,2019,29750,Automatic,9000,Petrol,145,33.2,2.0
 A5,2018,29990,Semi-Auto,7479,Petrol,145,36.7,3.0
 Q3,2018,23990,Semi-Auto,19100,Petrol,145,48.7,1.4
 A6,2019,28991,Semi-Auto,8766,Diesel,145,39.8,3.0
 A1,2015,12400,Manual,18200,Diesel,0,80.7,1.6
 A4,2017,16321,Automatic,31209,Diesel,145,70.6,2.0
 A1,2020,24950,Semi-Auto,2888,Petrol,150,44.8,1.5
 A5,2019,30950,Automatic,615,Diesel,145,51.4,2.0
 A4,2014,10995,Manual,51000,Diesel,30,61.4,2.0
 RS3,2017,31888,Automatic,38000,Petrol,150,34.0,2.5
 Q2,2017,21490,Semi-Auto,16150,Petrol,145,52.3,1.4
 A3,2019,22490,Manual,4094,Petrol,150,42.8,1.5
 A1,2020,21746,Semi-Auto,3000,Petrol,145,44.8,1.0
 A6,2019,38444,Semi-Auto,5432,Petrol,150,34.0,2.0
 A8,2020,48490,Semi-Auto,1354,Diesel,145,39.2,3.0
 A4,2016,12998,Manual,68248,Diesel,20,72.4,2.0
 A3,2015,12391,Manual,39362,Diesel,20,68.9,2.0
 A4,2019,27640,Automatic,7188,Petrol,145,38.2,2.0
 A6,2014,15300,Manual,44638,Diesel,30,62.8,2.0
 Q3,2015,15990,Manual,38017,Diesel,165,49.6,2.0
 A6,2019,36990,Semi-Auto,5695,Petrol,145,34.0,2.0
 A6,2019,30886,Semi-Auto,2596,Diesel,145,47.9,2.0
 A1,2012,10290,Manual,44331,Petrol,125,52.3,1.4
 A3,2019,18500,Automatic,11000,Diesel,145,54.3,1.6
 A1,2016,10726,Manual,24755,Diesel,0,76.3,1.6
 A3,2015,13990,Manual,47687,Diesel,20,68.9,2.0
 A4,2017,21000,Semi-Auto,28870,Diesel,150,53.3,3.0
 A6,2019,28990,Semi-Auto,7000,Diesel,150,47.9,2.0
 A3,2016,14995,Manual,39750,Petrol,30,57.6,1.4
 A3,2016,18500,Automatic,33391,Petrol,200,42.8,1.8
 A4,2017,14199,Manual,59300,Diesel,0,74.3,2.0
 A3,2019,20500,Manual,5530,Diesel,145,51.4,1.6
 A3,2016,7791,Manual,122000,Diesel,0,74.3,1.6
 Q2,2019,29995,Semi-Auto,4000,Petrol,145,33.2,2.0
 Q7,2019,55000,Automatic,7750,Diesel,145,33.2,3.0
 A3,2016,11500,Manual,29701,Petrol,20,62.8,1.4
 A4,2020,42900,Semi-Auto,2000,Diesel,145,39.8,3.0
 A5,2019,28450,Semi-Auto,5500,Diesel,145,47.1,2.0
 A1,2019,22950,Semi-Auto,1938,Petrol,145,47.1,1.0
 Q5,2019,51990,Semi-Auto,3712,Diesel,145,34.5,3.0
 A4,2014,13975,Manual,36790,Diesel,30,61.4,2.0
 A1,2016,10790,Manual,19360,Diesel,0,76.3,1.6
 Q3,2016,16890,Manual,44000,Diesel,30,60.1,2.0
 Q7,2017,45450,Semi-Auto,31800,Diesel,145,39.2,4.0
 A3,2017,17000,Manual,30804,Petrol,30,60.1,1.4
 A1,2017,13500,Manual,4520,Petrol,0,67.3,1.0
 A3,2019,20630,Manual,5922,Diesel,145,51.4,1.6
 A4,2015,9999,Manual,69599,Diesel,30,64.2,2.0
 A3,2018,18790,Manual,25000,Petrol,150,60.1,1.0
 Q5,2017,36641,Semi-Auto,49158,Petrol,145,34.0,3.0
 Q2,2019,27900,Semi-Auto,3972,Petrol,145,40.9,1.5
 A5,2020,37331,Semi-Auto,7532,Petrol,145,39.2,2.0
 A4,2013,12990,Manual,42185,Diesel,145,55.4,2.0
 A3,2019,23500,Automatic,2893,Petrol,150,42.2,1.5
 Q3,2018,25572,Semi-Auto,17953,Petrol,145,40.4,2.0
 A1,2013,6575,Manual,75000,Diesel,0,74.3,1.6
 A4,2015,10000,Automatic,113420,Diesel,205,47.1,2.0
 Q2,2019,22998,Semi-Auto,4842,Diesel,145,46.3,1.6
 Q5,2016,19495,Semi-Auto,53050,Diesel,200,47.1,2.0
 A4,2017,17000,Semi-Auto,40786,Diesel,20,72.4,2.0
 A4,2019,20933,Semi-Auto,10809,Diesel,145,51.4,2.0
 Q8,2019,54000,Automatic,1000,Diesel,145,33.6,3.0
 A3,2016,17798,Semi-Auto,26054,Petrol,30,56.5,1.4
 A4,2020,47990,Semi-Auto,5000,Diesel,145,39.2,3.0
 A6,2016,21000,Semi-Auto,28224,Diesel,145,55.4,3.0
 TT,2009,9350,Manual,44000,Diesel,145,53.3,2.0
 Q7,2016,30490,Semi-Auto,64460,Diesel,200,47.9,3.0
 Q3,2019,28490,Manual,10,Diesel,145,42.8,2.0
 A5,2017,19973,Manual,27678,Petrol,145,49.6,2.0
 A6,2019,27490,Automatic,9124,Diesel,145,47.9,2.0
 Q2,2019,20700,Automatic,15190,Diesel,145,46.3,1.6
 Q5,2019,30895,Semi-Auto,15342,Diesel,150,38.2,2.0
 Q3,2019,28990,Automatic,6000,Diesel,145,48.7,2.0
 Q2,2019,22444,Manual,4000,Diesel,145,47.9,1.6
 A3,2013,8990,Semi-Auto,75142,Petrol,30,57.6,1.4
 A3,2014,13950,Automatic,18258,Petrol,20,60.1,1.4
 A3,2017,13995,Manual,13291,Diesel,145,74.3,1.6
 A1,2016,11300,Manual,24426,Diesel,0,76.3,1.6
 Q7,2019,46500,Semi-Auto,18200,Diesel,145,32.8,3.0
 Q2,2019,23990,Semi-Auto,3302,Petrol,145,42.8,1.5
 Q3,2017,17000,Manual,31638,Petrol,125,51.4,1.4
 A1,2019,19490,Manual,1308,Petrol,145,47.9,1.0
 A3,2016,22000,Automatic,17008,Petrol,200,40.9,2.0
 A3,2017,16995,Manual,25728,Diesel,145,65.7,2.0
 A1,2019,22990,Automatic,1587,Petrol,145,40.9,2.0
 Q7,2018,33075,Semi-Auto,37923,Diesel,145,48.7,3.0
 Q7,2018,33444,Automatic,52000,Diesel,145,47.9,3.0
 A3,2019,21491,Manual,4552,Diesel,145,51.4,1.6
 Q7,2018,42950,Semi-Auto,13520,Diesel,145,33.2,3.0
 Q3,2016,18620,Semi-Auto,30647,Diesel,145,51.4,2.0
 Q5,2017,31990,Semi-Auto,13255,Petrol,145,40.4,2.0
 A3,2016,22950,Semi-Auto,43296,Petrol,200,40.4,2.0
 A3,2017,14490,Manual,29657,Diesel,20,67.3,2.0
 A1,2016,11990,Manual,15982,Petrol,0,67.3,1.0
 Q5,2019,34990,Automatic,6000,Diesel,145,38.2,2.0
 A1,2015,11800,Manual,20518,Diesel,0,80.7,1.6
 Q5,2019,29996,Semi-Auto,3540,Diesel,145,39.2,2.0
 A6,2019,33410,Semi-Auto,3968,Diesel,145,47.9,2.0
 Q3,2019,24990,Manual,7100,Petrol,145,40.9,1.5
 A3,2017,19500,Manual,7251,Petrol,30,60.1,1.4
 A5,2019,26498,Semi-Auto,270,Petrol,145,40.4,2.0
 A3,2017,15700,Manual,22889,Diesel,145,67.3,2.0
 A3,2016,12900,Manual,58161,Petrol,30,57.6,1.4
 A3,2019,22000,Semi-Auto,14757,Petrol,145,42.2,1.5
 A5,2019,29995,Automatic,5200,Petrol,145,37.7,2.0
 A5,2010,7495,Manual,120000,Diesel,165,49.6,2.0
 Q5,2020,53990,Semi-Auto,6000,Diesel,145,34.5,3.0
 A3,2017,16490,Manual,24000,Diesel,30,67.3,1.6
 Q5,2014,23995,Semi-Auto,35025,Diesel,260,41.5,3.0
 A4,2019,43930,Automatic,2541,Diesel,145,39.2,3.0
 Q3,2017,22995,Semi-Auto,20075,Petrol,150,42.2,2.0
 A4,2018,22400,Semi-Auto,27953,Diesel,145,57.6,2.0
 Q3,2019,26990,Manual,4500,Diesel,145,42.8,2.0
 Q3,2017,19499,Automatic,8646,Petrol,150,47.9,1.4
 A6,2019,33997,Automatic,9400,Diesel,145,52.3,3.0
 A1,2016,10500,Manual,41816,Petrol,0,67.3,1.0
 A5,2020,30000,Semi-Auto,1000,Diesel,145,50.4,2.0
 A1,2013,11350,Semi-Auto,19500,Petrol,125,53.3,1.4
 A6,2015,15998,Semi-Auto,71030,Diesel,30,64.2,2.0
 A3,2019,22910,Automatic,6650,Petrol,145,44.1,1.5
 A1,2016,11490,Manual,31436,Petrol,0,67.3,1.0
 A3,2016,14000,Manual,31446,Petrol,20,58.9,1.4
 A3,2019,32990,Semi-Auto,3942,Petrol,145,34.9,2.0
 A4,2019,26985,Semi-Auto,476,Petrol,145,39.2,2.0
 A3,2017,16495,Manual,36031,Petrol,30,60.1,1.4
 Q5,2019,32490,Automatic,5000,Diesel,145,38.2,2.0
 A7,2019,33990,Semi-Auto,4100,Diesel,145,47.1,2.0
 Q8,2019,51990,Automatic,2040,Diesel,145,33.6,3.0
 Q2,2019,22888,Manual,1366,Petrol,145,43.5,1.5
 A3,2016,8490,Manual,80000,Diesel,30,67.3,2.0
 A1,2016,12290,Manual,22990,Petrol,0,67.3,1.0
 Q7,2018,43490,Automatic,3750,Diesel,145,33.2,3.0
 A5,2019,25995,Semi-Auto,7200,Petrol,145,40.4,2.0
 Q3,2017,23252,Semi-Auto,23188,Diesel,145,53.3,2.0
 A3,2017,17000,Manual,29994,Diesel,145,65.7,2.0
 Q3,2017,17500,Automatic,32863,Petrol,150,47.9,1.4
 A4,2019,43000,Automatic,4650,Diesel,145,40.9,3.0
 A4,2019,26000,Semi-Auto,7750,Petrol,145,38.7,2.0
 A4,2017,18991,Manual,29884,Diesel,145,67.3,2.0
 Q3,2019,30790,Semi-Auto,6521,Petrol,145,31.7,2.0
 Q3,2019,30990,Automatic,6000,Diesel,145,47.1,2.0
 Q3,2019,28888,Automatic,7896,Diesel,145,40.9,2.0
 A3,2013,11399,Manual,50500,Petrol,30,58.9,1.4
 Q5,2017,23990,Automatic,27000,Diesel,205,45.6,3.0
 A4,2016,18950,Automatic,56000,Diesel,125,60.1,3.0
 A1,2020,22990,Semi-Auto,1192,Petrol,145,44.8,1.5
 A3,2013,9193,Manual,103000,Diesel,20,67.3,2.0
 Q7,2019,49990,Automatic,3454,Diesel,145,33.2,3.0
 Q5,2020,49990,Semi-Auto,5000,Diesel,145,34.5,3.0
 Q5,2019,43990,Automatic,5401,Diesel,145,36.2,2.0
 A3,2019,18000,Manual,4234,Diesel,145,54.3,1.6
 Q5,2019,34970,Semi-Auto,8911,Diesel,145,38.2,2.0
 A4,2016,11990,Manual,70000,Diesel,20,70.6,2.0
 A5,2014,12285,Semi-Auto,66900,Diesel,125,58.9,2.0
 A6,2019,31950,Semi-Auto,150,Diesel,145,47.9,2.0
 A3,2015,9999,Manual,41843,Diesel,0,83.1,1.6
 Q5,2016,23690,Semi-Auto,46816,Diesel,205,45.6,3.0
 A5,2012,8795,Manual,78807,Diesel,30,61.4,2.0
 A1,2015,10199,Manual,54292,Diesel,0,80.7,1.6
 Q3,2019,32990,Semi-Auto,3300,Petrol,145,31.7,2.0
 A3,2014,8400,Manual,55210,Diesel,0,74.3,1.6
 A4,2016,12000,Semi-Auto,83984,Diesel,20,70.6,2.0
 A4,2017,17480,Automatic,51527,Diesel,145,65.7,2.0
 A3,2016,15300,Manual,25000,Diesel,20,65.7,2.0
 Q2,2019,18940,Manual,3000,Diesel,145,49.6,1.6
 Q5,2019,33490,Automatic,5000,Diesel,145,38.2,2.0
 Q5,2016,30440,Semi-Auto,35622,Diesel,240,42.2,3.0
 A1,2016,14795,Manual,28894,Petrol,30,58.9,1.4
 Q3,2017,22950,Automatic,22036,Petrol,145,47.9,1.4
 A6,2016,17590,Manual,40070,Diesel,30,61.4,2.0
 A4,2017,16150,Manual,26970,Petrol,145,52.3,1.4
 A6,2017,25000,Semi-Auto,22350,Diesel,145,54.3,2.0
 A4,2012,9995,Manual,70950,Diesel,200,46.3,2.0
 A4,2016,14998,Semi-Auto,44603,Diesel,0,72.4,2.0
 Q5,2016,19975,Automatic,29808,Diesel,200,47.1,2.0
 Q3,2016,23950,Automatic,18515,Petrol,200,40.4,2.0
 A3,2019,31500,Automatic,1000,Petrol,145,36.7,2.0
 A3,2016,12500,Manual,36385,Petrol,125,53.3,1.4
 Q3,2019,31516,Automatic,9589,Petrol,145,32.1,2.0
 A5,2019,29950,Semi-Auto,5200,Petrol,145,37.7,2.0
 A4,2017,13990,Manual,60000,Diesel,145,68.9,2.0
 Q3,2019,35444,Automatic,7040,Petrol,145,30.7,2.0
 Q3,2015,21495,Semi-Auto,29838,Petrol,200,40.4,2.0
 A1,2011,6295,Manual,107000,Petrol,125,53.3,1.4
 Q3,2014,14970,Semi-Auto,33178,Diesel,205,47.9,2.0
 A3,2014,8492,Manual,119000,Diesel,20,68.9,2.0
 A4,2016,15940,Manual,57583,Diesel,30,62.8,2.0
 A4,2017,21781,Semi-Auto,25145,Petrol,145,52.3,2.0
 A1,2018,14481,Manual,20280,Petrol,145,67.3,1.0
 A4,2019,28490,Automatic,2000,Diesel,145,44.8,2.0
 A3,2016,15990,Semi-Auto,17868,Petrol,30,58.9,1.4
 Q3,2019,31950,Automatic,593,Petrol,145,31.7,2.0
 A6,2016,16998,Semi-Auto,39333,Diesel,20,64.2,2.0
 A1,2017,11990,Manual,12541,Petrol,145,67.3,1.0
 A3,2019,22990,Manual,6128,Diesel,145,55.4,2.0
 A4,2016,15500,Manual,29454,Diesel,0,74.3,2.0
 Q3,2019,29980,Semi-Auto,11754,Petrol,145,31.7,2.0
 Q5,2016,20000,Semi-Auto,39015,Diesel,205,47.1,2.0
 A4,2016,11500,Manual,40683,Petrol,125,53.3,1.4
 A5,2019,27490,Automatic,5100,Diesel,145,48.7,2.0
 A3,2019,23413,Semi-Auto,12971,Petrol,145,41.5,1.5
 A5,2019,24990,Semi-Auto,14850,Petrol,145,39.8,2.0
 Q7,2019,44750,Automatic,7872,Diesel,145,33.2,3.0
 Q5,2019,34936,Automatic,5607,Diesel,145,38.2,2.0
 A3,2014,8770,Semi-Auto,78699,Diesel,20,72.4,1.6
 Q3,2019,25000,Manual,2000,Petrol,145,40.9,1.5
 Q3,2019,33400,Semi-Auto,7021,Petrol,150,31.7,2.0
 A3,2013,7999,Manual,79000,Petrol,30,57.6,1.2
 A8,2018,35866,Semi-Auto,5538,Diesel,145,50.4,3.0
 A1,2017,11795,Manual,27444,Diesel,0,76.3,1.6
 A4,2018,20950,Semi-Auto,8022,Petrol,145,50.4,1.4
 A5,2015,16500,Automatic,46125,Diesel,160,51.4,2.0
 A3,2019,16000,Manual,5704,Petrol,145,49.6,1.0
 A3,2018,26995,Semi-Auto,18207,Petrol,150,43.5,2.0
 A8,2019,33992,Automatic,16584,Petrol,145,37.7,3.0
 Q5,2015,20000,Semi-Auto,26190,Diesel,200,47.1,2.0
 Q2,2018,20990,Semi-Auto,13264,Petrol,145,54.3,1.4
 A4,2016,16999,Semi-Auto,30697,Diesel,30,67.3,2.0
 Q8,2019,53000,Automatic,9002,Diesel,145,33.6,3.0
 A3,2019,21276,Semi-Auto,9052,Diesel,145,52.3,1.6
 A4,2016,12465,Manual,61224,Diesel,20,70.6,2.0
 A3,2019,21000,Manual,3302,Petrol,145,47.1,1.0
 Q3,2016,18502,Manual,22406,Diesel,145,52.3,2.0
 A1,2012,7500,Manual,63565,Diesel,0,74.3,1.6
 A5,2018,33990,Automatic,13453,Petrol,145,36.7,3.0
 A3,2018,16991,Semi-Auto,60892,Petrol,145,56.5,1.5
 TT,2020,32490,Semi-Auto,2950,Petrol,145,34.9,2.0
 Q3,2017,22000,Automatic,18000,Petrol,150,42.2,2.0
 A1,2019,21644,Manual,4467,Petrol,150,46.3,1.5
 TT,2017,19000,Manual,14623,Petrol,150,46.3,1.8
 SQ7,2017,59950,Semi-Auto,23000,Diesel,145,39.2,4.0
 TT,2019,32888,Automatic,4550,Petrol,145,37.2,2.0
 A4,2018,22900,Semi-Auto,16000,Petrol,150,42.8,2.0
 A6,2019,35895,Automatic,2000,Diesel,145,47.9,2.0
 A3,2019,21950,Manual,6525,Diesel,145,51.4,1.6
 A4,2015,15000,Semi-Auto,44523,Diesel,160,50.4,2.0
 Q5,2015,19995,Semi-Auto,41000,Diesel,200,47.1,2.0
 A3,2019,25750,Automatic,1500,Petrol,145,39.2,2.0
 A5,2013,15900,Semi-Auto,29323,Petrol,160,39.2,2.0
 A3,2018,26891,Semi-Auto,27342,Petrol,150,43.5,2.0
 Q2,2017,16861,Manual,35457,Petrol,150,52.3,1.4
 A3,2018,19790,Manual,20900,Petrol,145,54.3,1.5
 A3,2016,17990,Semi-Auto,35273,Petrol,30,56.5,1.4
 Q3,2014,14840,Manual,49987,Petrol,150,47.9,1.4
 Q3,2019,25750,Manual,4750,Petrol,145,40.9,1.5
 A6,2015,16798,Semi-Auto,65835,Diesel,125,61.4,2.0
 Q5,2014,18420,Automatic,95001,Diesel,260,41.5,3.0
 Q2,2018,19760,Manual,9899,Petrol,145,50.4,1.4
 A4,2017,17445,Manual,36187,Diesel,20,70.6,2.0
 A4,2019,25850,Automatic,3957,Petrol,145,38.2,2.0
 A3,2016,28995,Semi-Auto,24000,Petrol,300,34.9,2.5
 Q3,2016,18940,Manual,30146,Diesel,165,49.6,2.0
 A3,2017,13500,Manual,30579,Diesel,145,70.6,1.6
 Q5,2020,35500,Semi-Auto,3500,Diesel,145,38.2,2.0
 A3,2016,13290,Manual,15056,Petrol,125,53.3,1.4
 A4,2020,32481,Semi-Auto,22601,Petrol,145,39.2,2.0
 A3,2019,22061,Manual,2392,Diesel,145,51.4,1.6
 Q3,2017,19656,Manual,20355,Petrol,145,49.6,1.4
 A8,2018,34399,Automatic,11300,Diesel,145,50.4,3.0
 Q7,2019,41970,Automatic,5815,Diesel,145,33.6,3.0
 Q2,2019,25354,Semi-Auto,1947,Diesel,145,44.8,1.6
 RS4,2014,24990,Semi-Auto,70823,Petrol,555,26.4,4.2
 A1,2017,13195,Manual,28502,Petrol,30,56.5,1.4
 A4,2015,17995,Automatic,30000,Diesel,200,39.8,3.0
 A3,2019,22250,Semi-Auto,15561,Petrol,145,41.5,1.5
 A4,2019,28000,Automatic,7500,Petrol,145,38.2,2.0
 TT,2016,16400,Manual,33700,Petrol,145,47.1,1.8
 TT,2015,13995,Manual,39000,Diesel,20,67.3,2.0
 A3,2019,21690,Semi-Auto,7836,Petrol,145,42.2,1.5
 A3,2019,20750,Automatic,5979,Petrol,145,42.2,1.5
 A1,2015,12995,Manual,27275,Petrol,30,55.4,1.4
 A5,2017,24790,Automatic,8976,Diesel,145,62.8,2.0
 R8,2019,112990,Automatic,8175,Petrol,145,21.6,5.2
 Q5,2016,27495,Semi-Auto,33100,Diesel,235,42.8,3.0
 Q2,2019,29500,Semi-Auto,2631,Petrol,145,33.2,2.0
 A5,2019,30990,Automatic,5200,Diesel,145,45.6,2.0
 A3,2019,22888,Semi-Auto,6018,Petrol,145,40.9,2.0
 A4,2019,28990,Automatic,7500,Diesel,145,47.9,2.0
 Q2,2018,18990,Manual,17200,Petrol,145,52.3,1.4
 A1,2016,10289,Manual,33560,Diesel,0,76.3,1.6
 Q5,2017,27498,Semi-Auto,65145,Diesel,235,42.2,3.0
 Q5,2015,15099,Manual,80521,Diesel,200,47.9,2.0
 TT,2020,32990,Automatic,150,Petrol,145,38.7,2.0
 Q3,2016,18999,Automatic,25667,Diesel,160,50.4,2.0
 Q3,2019,26995,Manual,1500,Petrol,145,42.2,1.5
 A1,2012,9020,Automatic,56767,Petrol,125,53.3,1.4
 A4,2019,41888,Semi-Auto,6536,Diesel,145,39.8,3.0
 A1,2014,10995,Manual,36000,Petrol,125,52.3,1.4
 Q2,2017,18490,Manual,10044,Petrol,145,52.3,1.4
 A5,2019,32195,Automatic,4500,Petrol,145,37.2,2.0
 A5,2016,13100,Manual,44531,Diesel,20,67.3,2.0
 A7,2017,30000,Semi-Auto,34128,Petrol,330,29.7,4.0
 A1,2020,20888,Manual,1500,Petrol,145,47.9,1.0
 A1,2017,16000,Manual,15100,Petrol,150,58.9,1.4
 A5,2016,17498,Semi-Auto,37978,Diesel,165,52.3,2.0
 Q3,2019,24990,Manual,5000,Petrol,145,40.9,1.5
 A1,2013,8999,Manual,33109,Petrol,30,55.4,1.2
 A4,2020,31490,Semi-Auto,500,Diesel,150,49.6,2.0
 Q3,2017,19460,Semi-Auto,18254,Petrol,145,47.9,1.4
 A6,2019,30000,Automatic,4500,Diesel,145,47.9,2.0
 A6,2014,13541,Semi-Auto,79965,Diesel,30,64.2,2.0
 A4,2018,17300,Manual,14017,Petrol,150,51.4,1.4
 A3,2016,15498,Semi-Auto,47322,Diesel,30,61.4,2.0
 Q3,2019,28790,Semi-Auto,3150,Petrol,145,38.2,1.5
 A7,2015,28990,Semi-Auto,21100,Petrol,325,29.7,4.0
 A4,2020,42840,Semi-Auto,5233,Diesel,145,39.2,3.0
 Q5,2015,21500,Semi-Auto,45600,Diesel,200,47.1,2.0
 A3,2020,23229,Manual,1850,Petrol,145,44.8,1.5
 A3,2016,17945,Semi-Auto,36910,Petrol,125,49.6,2.0
 Q3,2016,15000,Manual,39134,Diesel,30,60.1,2.0
 Q3,2013,10190,Manual,69884,Diesel,145,54.3,2.0
 A6,2015,17495,Semi-Auto,26000,Diesel,30,64.2,2.0
 A4,2018,24350,Semi-Auto,5229,Petrol,145,50.4,1.4
 A3,2015,19999,Automatic,26670,Petrol,200,40.9,2.0
 Q5,2016,19750,Semi-Auto,48269,Diesel,200,47.1,2.0
 A1,2016,13888,Semi-Auto,26000,Petrol,30,56.5,1.4
 Q2,2017,18485,Manual,22501,Diesel,145,64.2,1.6
 Q2,2017,18377,Semi-Auto,14208,Diesel,145,68.9,1.6
 Q2,2019,23991,Semi-Auto,9256,Diesel,145,46.3,1.6
 A3,2016,20990,Semi-Auto,29012,Petrol,30,55.4,1.4
 Q5,2019,34000,Semi-Auto,5542,Diesel,145,38.2,2.0
 A3,2018,13999,Manual,19811,Diesel,145,70.6,1.6
 A3,2019,23490,Semi-Auto,6564,Petrol,145,42.2,1.5
 Q5,2019,45490,Automatic,10,Diesel,145,36.2,2.0
 A5,2020,32990,Semi-Auto,1884,Diesel,145,50.4,2.0
 Q3,2017,22495,Manual,32713,Diesel,160,50.4,2.0
 A4,2019,26950,Automatic,6000,Petrol,145,38.2,2.0
 Q5,2019,33900,Automatic,6318,Diesel,145,38.2,2.0
 A5,2019,33990,Automatic,5000,Diesel,145,50.4,2.0
 A4,2014,15567,Automatic,55119,Petrol,300,34.9,3.0
 A1,2016,12298,Manual,30001,Petrol,30,56.5,1.4
 A1,2019,21251,Manual,5432,Petrol,145,47.9,1.0
 Q5,2014,15490,Semi-Auto,69798,Diesel,200,47.1,2.0
 Q5,2012,12699,Manual,84356,Diesel,200,47.9,2.0
 Q5,2019,35295,Semi-Auto,3249,Petrol,145,32.1,2.0
 A3,2019,23950,Semi-Auto,8251,Diesel,150,50.4,2.0
 R8,2015,54945,Automatic,23924,Petrol,570,22.8,4.2
 Q3,2019,27991,Semi-Auto,8683,Diesel,150,47.1,2.0
 A3,2017,15699,Semi-Auto,19588,Diesel,145,70.6,1.6
 Q8,2019,55970,Semi-Auto,5415,Diesel,145,33.6,3.0
 A4,2016,18900,Semi-Auto,44531,Diesel,125,58.9,3.0
 A6,2016,13699,Automatic,44652,Diesel,20,67.3,2.0
 Q7,2016,37999,Automatic,36461,Diesel,0,156.9,3.0
 A3,2013,11490,Manual,35804,Petrol,30,54.3,1.4
 A7,2020,42995,Semi-Auto,6150,Diesel,145,38.7,3.0
 A6,2019,28470,Automatic,6015,Diesel,145,47.9,2.0
 Q3,2019,32000,Automatic,2796,Petrol,150,31.7,2.0
 Q7,2019,52450,Automatic,4741,Diesel,145,33.2,3.0
 Q5,2012,10888,Manual,95000,Diesel,205,47.9,2.0
 A3,2019,23490,Automatic,10380,Petrol,145,41.5,1.5
 Q2,2019,20950,Manual,3198,Diesel,145,49.6,1.6
 A3,2017,21000,Automatic,20200,Petrol,150,55.4,1.4
 A4,2019,28490,Semi-Auto,120,Diesel,145,47.9,2.0
 A4,2019,34990,Automatic,1705,Petrol,145,38.2,2.0
 A1,2016,12000,Manual,45998,Petrol,30,55.4,1.4
 Q3,2019,27190,Manual,3555,Diesel,145,42.8,2.0
 A1,2016,8490,Manual,29000,Diesel,0,76.3,1.6
 A4,2020,32000,Semi-Auto,3000,Petrol,150,39.2,2.0
 Q2,2017,20490,Manual,10700,Petrol,150,50.4,1.4
 A4,2016,14799,Manual,39989,Diesel,0,74.3,2.0
 A4,2019,22288,Manual,5654,Petrol,145,39.2,2.0
 A5,2016,17698,Manual,54770,Diesel,145,56.5,2.0
 Q3,2016,17584,Manual,21002,Diesel,160,49.6,2.0
 A3,2017,11600,Manual,64107,Diesel,20,70.6,2.0
 Q3,2019,26700,Automatic,2047,Diesel,145,48.7,2.0
 A1,2019,22400,Semi-Auto,3729,Petrol,145,47.1,1.0
 Q5,2016,20500,Semi-Auto,38197,Diesel,200,47.1,2.0
 Q2,2019,30075,Semi-Auto,5105,Petrol,145,33.2,2.0
 Q3,2017,20490,Manual,25807,Petrol,145,49.6,1.4
 A3,2015,9899,Manual,57021,Diesel,0,83.1,1.6
